Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL
click,8/21/2018 22:14,8/21/2018 22:25,9/18/2018 23:59,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":9.99}",9.99,USD,9.99,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_US_purc_2_Nov_2017,972378712,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,TX,Dallas,75219,623,216.59.203.212,TRUE,,,en-US,1534871714986-6405687,,F65E2361-6F1D-426F-B66C-9BDD924F1095,,2ab70d20-a591-11e8-a5fe-cdcf5ce22775,,54733279-9E05-4332-A8D8-73C6CC184767,ios,iPhone X,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,7/25/2018 23:25,7/25/2018 23:26,9/18/2018 23:56,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins5"",""af_revenue"":49.99}",49.99,USD,49.99,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_US_purc_2_Nov_2017,972378712,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,NC,Holly Springs,27540,560,65.190.52.25,TRUE,,,en-US,1532546764753-7355271,,FC666DF5-D94B-4F28-B010-A98D912CF02F,,33e73770-9062-11e8-bc26-3d29fa1099cc,,E0FB9565-2FED-49A0-93C6-5E448048AE28,ios,iPhone 7,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,7/14/2018 1:10,7/14/2018 1:17,9/18/2018 23:55,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,USD,1.99,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_US_purc_2_Nov_2017,972378712,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,GA,Atlanta,30303,524,107.77.236.57,FALSE,,,en-US,1531512699860-981061,,F57B339B-5A1F-48F5-BA30-714536B4F505,,9ef60ae0-8703-11e8-9e88-71d56c2b6c49,,E7F1A372-0E25-46EC-964A-9B877CFEDB28,ios,iPad 5,11.4.1,435,v4.8.4,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.17.1 CFNetwork/902.2 Darwin/17.7.0,,
click,7/3/2018 23:03,7/3/2018 23:31,9/18/2018 23:53,af_purchase,"{""af_currency"":""GBP"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,GBP,2.619748,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_AU+CA+UK_purch_11_dec_2017,1015277688,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,EU,UK,WLV,Wolverhampton,wv3 0aa,826042,82.8.15.24,TRUE,,,en-GB,1530662650254-5471100,,196F7C25-9BC2-4706-BB89-257911C74659,,32a068e0-7f19-11e8-867d-19572e387424,,E2F34501-3C4B-4D5A-838C-0E372B332607,ios,iPad Air 2,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/10/2018 1:49,9/10/2018 2:15,9/18/2018 23:52,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":9.99}",9.99,USD,9.99,SDK,,,Apple Search Ads,,majong,MTQ_US_10_Jul_2018,162636323,Mahjong Lines_US,162583734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,MD,Bel Air,21014,512,100.16.34.123,TRUE,,,en-US,1536529799007-1810853,,D046AC43-0AE5-494B-BEA8-D8C6F29187AD,,5bd63ab0-b49f-11e8-90f2-5d7828fe747a,,6C2004E5-3E49-417F-AEB0-8C1F746A016D,ios,iPhone 6s,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/16/2018 14:46,9/16/2018 15:34,9/18/2018 23:51,af_purchase,"{""af_currency"":""EUR"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":2.29}",2.29,EUR,2.674834,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_DE-AT-CH_purc_4_Dec_2017,1006590854,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,EU,DE,NW,Bonn,53121,276002,88.130.52.18,TRUE,,,de-DE,1537116397886-1562787,,04027411-4530-48B7-8242-30EF6D7DB020,,05e0bb20-b9c6-11e8-a2c1-7375bae88047,,3739FF40-9D6F-4385-BD45-961F3A170B32,ios,iPhone 7,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/10/2018 1:49,9/10/2018 2:15,9/18/2018 23:48,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":9.99}",9.99,USD,9.99,SDK,,,Apple Search Ads,,majong,MTQ_US_10_Jul_2018,162636323,Mahjong Lines_US,162583734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,MD,Bel Air,21014,512,100.16.34.123,TRUE,,,en-US,1536529799007-1810853,,D046AC43-0AE5-494B-BEA8-D8C6F29187AD,,5bd63ab0-b49f-11e8-90f2-5d7828fe747a,,6C2004E5-3E49-417F-AEB0-8C1F746A016D,ios,iPhone 6s,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/5/2018 5:46,9/5/2018 5:51,9/18/2018 23:48,af_purchase,"{""af_currency"":""JPY"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":1200}",1200,JPY,10.682334,SDK,,,Facebook Ads,AudienceNetwork,,MTQ - iOS - AEO - Asia (5 June 2018),6.12E+12,JP - iOS - AEO - Match3Games,6.12E+12,Expeditions General Video,6.12E+12,rewarded_video,,,,,,,,,,,,,,,,,,,,,,,,,,AS,JP,23,Kasugai,480-0302,392003,115.37.254.154,TRUE,,,ja-JP,1536158804930-1001618,,7A863FAB-92D5-4C4A-B79F-0BC188BFF894,,b1f23150-b0cf-11e8-8d83-0d937424f41e,,3316ABCB-3898-435F-B6DF-AF099DC87F82,ios,iPhone 8,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,28d,,TRUE,%E3%83%91%E3%82%BA%E3%83%AB%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/5/2018 5:46,9/5/2018 5:51,9/18/2018 23:45,af_purchase,"{""af_currency"":""JPY"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":1200}",1200,JPY,10.682334,SDK,,,Facebook Ads,AudienceNetwork,,MTQ - iOS - AEO - Asia (5 June 2018),6.12E+12,JP - iOS - AEO - Match3Games,6.12E+12,Expeditions General Video,6.12E+12,rewarded_video,,,,,,,,,,,,,,,,,,,,,,,,,,AS,JP,23,Kasugai,480-0302,392003,115.37.254.154,TRUE,,,ja-JP,1536158804930-1001618,,7A863FAB-92D5-4C4A-B79F-0BC188BFF894,,b1f23150-b0cf-11e8-8d83-0d937424f41e,,3316ABCB-3898-435F-B6DF-AF099DC87F82,ios,iPhone 8,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,28d,,TRUE,%E3%83%91%E3%82%BA%E3%83%AB%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/9/2018 13:05,9/9/2018 13:08,9/18/2018 23:45,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins2"",""af_revenue"":4.99}",4.99,USD,4.99,SDK,,,Apple Search Ads,,mahjong,MTQ_US_10_Jul_2018,162636323,Mahjong Lines_US,162583734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,PA,Willow Grove,19090,504,68.83.225.199,TRUE,,,en-US,1536483924229-3004781,,3E83C3A1-2FCF-4592-AE5B-8BB50939C4C3,,6f719ab0-b431-11e8-9683-4f6d7183337a,,FEE4C2FD-9AE5-433C-BC9A-743BC4E50E47,ios,iPad 5,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,9/9/2018 22:05,9/9/2018 22:30,9/18/2018 23:45,af_purchase,"{""af_currency"":""JPY"",""af_content_id"":""com.gleragames.mahjong.coins2"",""af_revenue"":600}",600,JPY,5.341167,SDK,,,Facebook Ads,AudienceNetwork,,MTQ - iOS - AEO - Asia (5 June 2018),6.12E+12,JP - iOS - AEO - Match3Games,6.12E+12,Expeditions General Video,6.12E+12,rewarded_video,,,,,,,,,,,,,,,,,,,,,,,,,,AS,JP,23,Nakagawa,454-0992,392003,60.134.66.100,TRUE,,,ja-JP,1536563145623-4006100,,AC9C9BB3-153F-4ECC-98DD-0C0B58D98D1D,,e40b7f00-b47f-11e8-83c4-8546c8440708,,9E0777B4-B41B-445A-A0E5-6035285393BB,ios,iPhone 7,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,28d,,TRUE,%E3%83%91%E3%82%BA%E3%83%AB%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,7/29/2018 19:15,7/29/2018 19:17,9/18/2018 23:42,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins6"",""af_revenue"":99.99}",99.99,USD,99.99,SDK,,,Apple Search Ads,,mahjong deluxe free,MTQ_US_10_Jul_2018,162636323,Mahjong Lines_US,162583734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,FL,Winter Haven,33881,539,173.169.169.253,TRUE,,,en-US,1532877320535-1386119,,A7D0EABC-EE6B-4BDA-B87C-849C88E1BF90,,0bbc5500-9364-11e8-b5a1-fdb41c1d541c,,A8242909-9773-43FB-A77B-F7CE42E9C9F3,ios,iPhone 8 Plus,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,1/5/2018 14:26,1/5/2018 15:25,9/18/2018 23:42,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,USD,1.99,SDK,,,vungle_int,,,MTQ_iOS_PUSH_US,,,,,,,59c5a08d0eb300bc3b003ede,,US,,,,,CPI,7,USD,,,,,,,,,,,,,,,,NA,US,WI,Manitowish Waters,54545,705,98.125.97.209,TRUE,,,en-US,1515140787428-5326742,,BAE76301-2E65-417F-992A-8612DAA251C8,,b83791a0-f22c-11e7-af95-177cc3b8005e,,E1B27D97-D42A-446E-9FFD-8D9972608EA9,ios,iPhone 6s Plus,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,7d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,https://app.appsflyer.com/id1098189387?pid=vungle_int&c=MTQ_iOS_PUSH_US&af_sub1=US&idfa=bae76301-2e65-417f-992a-8612daa251c8&clickid=5a4f891fdce8a200012d9a0b&af_siteid=59c5a08d0eb300bc3b003ede&vungleappid=56f01762dab76d9476000090&af_cost_model=CPI&af_cost_value=7&af_cost_currency=USD&af_sub1=Crosswords%20With%20Friends
